Segments,Businesses,Products
Productivity and Business Processes,Office Commercial,Office 365 subscriptions
Productivity and Business Processes,Office Commercial,the Office 365 portion of Microsoft 365 Commercial subscriptions
Productivity and Business Processes,Office Commercial,Office licensed on-premises
Productivity and Business Processes,Office Commercial,Office
Productivity and Business Processes,Office Commercial,Exchange
Productivity and Business Processes,Office Commercial,SharePoint
Productivity and Business Processes,Office Commercial,Microsoft Teams
Productivity and Business Processes,Office Commercial,Office 365 Security and Compliance
Productivity and Business Processes,Office Commercial,Microsoft Viva
Productivity and Business Processes,Office Commercial,Copilot for Microsoft 365
Productivity and Business Processes,Office Consumer,Microsoft 365 Consumer subscriptions
Productivity and Business Processes,Office Consumer,Copilot Pro subscriptions
Productivity and Business Processes,Office Consumer,Office licensed on-premises
Productivity and Business Processes,Office Consumer,Other Office services
Productivity and Business Processes,Office Consumer,Skype
Productivity and Business Processes,Office Consumer,Outlook.com
Productivity and Business Processes,Office Consumer,OneDrive
Productivity and Business Processes,LinkedIn,Talent Solutions
Productivity and Business Processes,LinkedIn,Marketing Solutions
Productivity and Business Processes,LinkedIn,Premium Subscriptions
Productivity and Business Processes,LinkedIn,Sales Solutions
Productivity and Business Processes,Dynamics,Dynamics 365
Productivity and Business Processes,Dynamics,"a set of intelligent, cloud-based applications across ERP, CRM, Power Apps, and Power Automate"
Productivity and Business Processes,Dynamics,on-premises ERP and CRM applications
Intelligent Cloud,Server products and cloud services,Azure
Intelligent Cloud,Server products and cloud services,SQL Server
Intelligent Cloud,Server products and cloud services,Windows Server
Intelligent Cloud,Server products and cloud services,Visual Studio
Intelligent Cloud,Server products and cloud services,System Center
Intelligent Cloud,Server products and cloud services,Client Access Licenses (“CALs”)
Intelligent Cloud,Server products and cloud services,Nuance
Intelligent Cloud,Server products and cloud services,GitHub
Intelligent Cloud,Enterprise and partner services,Enterprise Support Services
Intelligent Cloud,Enterprise and partner services,Industry Solutions
Intelligent Cloud,Enterprise and partner services,Nuance professional services
Intelligent Cloud,Enterprise and partner services,Microsoft Partner Network
Intelligent Cloud,Enterprise and partner services,Learning Experience
More Personal Computing,Windows,Windows OEM licensing and other non-volume licensing of the Windows operating system
More Personal Computing,Windows,Windows Commercial
More Personal Computing,Windows,Windows operating system
More Personal Computing,Windows,Windows cloud services
More Personal Computing,Windows,other Windows commercial offerings
More Personal Computing,Windows,patent licensing
More Personal Computing,Windows,Windows Internet of Things
More Personal Computing,Devices,Surface
More Personal Computing,Devices,HoloLens
More Personal Computing,Devices,PC accessories
More Personal Computing,Gaming,Xbox hardware
More Personal Computing,Gaming,Xbox content and services
More Personal Computing,Gaming,Activision Blizzard
More Personal Computing,Gaming,games and in-game content
More Personal Computing,Gaming,Xbox Game Pass and other subscriptions
More Personal Computing,Gaming,Xbox Cloud Gaming
More Personal Computing,Gaming,advertising
More Personal Computing,Gaming,third-party disc royalties
More Personal Computing,Gaming,other cloud services
More Personal Computing,Search and news advertising,Bing
More Personal Computing,Search and news advertising,Microsoft News
More Personal Computing,Search and news advertising,Microsoft Edge
More Personal Computing,Search and news advertising,third-party affiliates
