Sentence,BusinessUnit
"Microsoft (MSFT 2.31%) 
Q2 2025 Earnings Call 
Jan 29, 2025, 5:30 p.m.",Other
"ET 
Contents: 
● Prepared Remarks 
● Questions and Answers 
● Call Participants 
Prepared Remarks: 
 
Operator 
Greetings, and welcome to the Microsoft fiscal year 2025 second-quarter earnings conference 
call.",Other
"At this time, all participants are in a listen-only mode.",Other
"A question-and-answer session will 
follow the formal presentation. [Operator instructions] As a reminder, this conference is being 
recorded.",Other
"It is now my pleasure to introduce your host, Brett Iversen, vice president of investor relations.",Other
Please go ahead.,Other
"Brett Iversen -- Vice President, Investor Relations 
Good afternoon, and thank you for joining us today.",Other
"On the call with me are Satya Nadella, 
chairman and chief executive officer; Amy Hood, chief financial officer; Alice Jolla, chief 
accounting officer; and Keith Dolliver, corporate secretary and deputy general counsel.",Office Commercial
"On the 
Microsoft Investor Relations website, you can find our earnings press release and financial 
summary slide deck, which is intended to supplement our prepared remarks during today's call 
and provides the reconciliation of differences between GAAP and non-GAAP financial 
measures.",Office Commercial
"More detailed outlook slides will be available on the Microsoft Investor Relations 
website when we provide outlook commentary on today's call.",Office Commercial
"In this call, we will discuss certain non-GAAP items.",Office Commercial
"The non-GAAP financial measures 
provided should not be considered as a substitute for or superior to the measures of financial 
performance prepared in accordance with GAAP.",Office Commercial
"They are included as additional clarifying 
items to aid investors in further understanding the company's second-quarter performance in 
addition to the impact these items and events have on the financial results.",Office Commercial
"All growth 
comparisons we make on the call today relate to the corresponding period of last year unless 
otherwise noted.",Office Commercial
"Where to invest $1,000 right now 
When our analyst team has a stock tip, it can pay to listen.",Office Commercial
"After all, Stock Advisor’s total 
average return is 906% — a market-crushing outperformance compared to 164% for the S&P 
500.",Office Commercial
"They just revealed what they believe are the 10 best stocks for investors to buy right now… 
Learn more › 
*Stock Advisor returns as of April 28, 2025 
We will also provide growth rates in constant currency when available as a framework for 
assessing how our underlying businesses performed, excluding the effect of foreign currency 
rate fluctuations.",Office Commercial
"Where growth rates are the same in constant currency, we will refer to the 
growth rate only.",Office Commercial
"We will post our prepared remarks to our website immediately following the call 
until the complete transcript is available.",Office Commercial
Today's call is being webcast live and recorded.,Office Commercial
"If you ask a question, it will be included in our live transmission, in the transcript, and in any 
future use of the recording.",Office Commercial
"You can replay the call and view the transcript on the Microsoft 
Investor Relations website.",Office Commercial
"During this call, we will be making forward-looking statements, which 
are predictions, projections, or other statements about future events.",Office Commercial
"These statements are 
based on current expectations and assumptions that are subject to risks and uncertainties.",Office Commercial
"Actual results could materially differ because of factors discussed in today's earnings press 
release, in the comments made during this conference call, and in the Risk Factors section of 
our Form 10-K, Form 10-Q, and other reports and filings with the Securities and Exchange 
Commission.",Office Commercial
We do not undertake any duty to update any forward-looking statement.,Office Commercial
"And with 
that, I'll turn the call over to Satya.",Office Commercial
"Satya Nadella -- Chair and Chief Executive Officer 
Thank you, Brett.",Office Commercial
"This quarter, we saw continued strength in Microsoft Cloud, which surpassed 
$40 billion in revenue for the first time, up 21% year over year.",Office Commercial
"Enterprises are beginning to 
move from proof of concepts to enterprisewide deployments to unlock the full ROI of AI.",Office Commercial
"And our 
AI business has now surpassed an annual revenue run rate of $13 billion, up 175% year over 
year.",Office Commercial
"Before I get into the details of the quarter, I want to comment on the core thesis behind our 
approach to how we manage our fleet and how we allocate our capital to compute.",Office Commercial
"AI scaling 
laws continue to compound across both pre-training and inference time compute.",Office Commercial
"We ourselves 
have been seeing significant efficiency gains in both training and inference for years now.",Office Commercial
"On 
inference, we have typically seen more than 2x price performance gain for every hardware 
generation and more than 10x for every model generation due to software optimizations.",Office Commercial
"And as AI becomes more efficient and accessible, we will see exponentially more demand.",Office Commercial
"Therefore, much as we have done with the commercial cloud, we are focused on continuously 
scaling our fleet globally and maintaining the right balance across training and inference as well 
as geo-distribution.",Office Commercial
"From now on, it's a more continuous cycle governed by both revenue growth 
and capability growth thanks to the compounding effects of software-driven AI scaling laws and 
Moore's Law.",Office Commercial
"With that, I will walk through the progress we are making across every layer of the 
tech stack.",Office Commercial
Azure is the infrastructure layer for AI.,Server products and cloud services
"We continue to expand our data center capacity in line 
with both near-term and long-term demand signals.",Server products and cloud services
"We have more than doubled our overall 
data center capacity in the last three years, and we have added more capacity last year than 
any other year in our history.",Server products and cloud services
"Our data centers, networks, racks, and silicon are all coming 
together as a complete system to drive new efficiencies to power both the cloud workloads of 
today and the next-generation AI workloads.",Server products and cloud services
"We continue to take advantage of Moore's Law and refresh our fleet as evidenced by our 
support of the latest from AMD, Intel, NVIDIA, as well as our first-party silicon innovation from 
Maia, Cobalt, Boost, and HSM.",Server products and cloud services
"When it comes to cloud migrations, we continue to see 
customers like UBS move workloads to Azure.",Server products and cloud services
"UBS alone migrated mainframe workloads 
encompassing nearly 400 billion records and two petabytes of data.",Server products and cloud services
"And we remain the cloud of 
choice for customers' mission-critical Oracle, SAP, and VMware apps.",Server products and cloud services
"At the data layer, we are seeing Microsoft Fabric break out.",Server products and cloud services
"We now have over 19,000 paid 
customers from Hitachi to Johnson Controls to Schaeffler.",Server products and cloud services
"Fabric is now the fastest-growing 
analytics product in our history.",Server products and cloud services
"Power BI is also deeply integrated with Fabric with over 30 
million monthly active users, up 40% since last year.",Server products and cloud services
"Beyond Fabric, we are seeing new AI-driven data patterns emerge.",Server products and cloud services
"If you look underneath 
ChatGPT or Copilot or enterprise AI apps, you see the growth of raw storage, database 
services, and app platform services as these workloads scale.",Gaming
"The number of Azure OpenAI 
apps running on Azure databases and Azure App Services more than doubled year over year, 
driving significant growth in adoption across SQL, hyperscale, and Cosmos DB.",Gaming
"Now, on to AI 
platform and tools.",Gaming
"As we shared last week, we are thrilled OpenAI has made a new large Azure commitment.",Server products and cloud services
"Through our strategic partnership, we continue to benefit mutually from each other's growth.",Server products and cloud services
"And with OpenAI's APIs exclusively running on Azure, customers can count on us to get access 
to the world's leading models.",Server products and cloud services
"And OpenAI has a lot more coming soon, so stay tuned.",Server products and cloud services
"Azure AI Foundry features best-in-class tooling run times to build agents, multi-agent apps, 
AIOps, API access to thousands of models.",Server products and cloud services
"Two months in, we already have more than 200,000 
monthly active users, and we are well positioned with our support of both OpenAI's leading 
models and the best selection of open-source models and SLMs.",Server products and cloud services
"DeepSeek's R1 launched 
today via the model catalog on Foundry and GitHub with automated red teaming, content safety 
integration, and security scanning.",Server products and cloud services
"Our Phi family of SLMs has now been downloaded over 20 
million times.",Server products and cloud services
"And we also have more than 30 models from partners like Bayer, PAYG AI, Rockwell 
Automation, Siemens to address industry-specific use cases.",Server products and cloud services
"With AI, how we build, deploy, and 
maintain code is fundamentally changing, and GitHub Copilot is increasingly the tool of choice 
for both digital natives like ASOS and Spotify as well as world's largest enterprises like HP, 
HSBC, and KPMG.",Server products and cloud services
"We have been delighted by the early response to GitHub Copilot and VS 
Code with more than 1 million sign-ups in just the first week post launch.",Server products and cloud services
"All up, GitHub now is 
home to 150 million developers, up 50% over the past two years.",Server products and cloud services
"Now, on to the future of work.",Server products and cloud services
Microsoft 365 Copilot is the UI for AI.,Server products and cloud services
"It helps supercharge 
employee productivity and provides access to a swarm of intelligent agents to streamline 
employee workflow.",Server products and cloud services
"We are seeing accelerated customer adoption across all deal sizes as we 
win new Microsoft 365 Copilot customers and see the majority of existing enterprise customers 
come back to purchase more seats.",Server products and cloud services
"When you look at customers who purchased Copilot during the first quarter of availability, they 
have expanded their seat collectively by more than 10x over the past 18 months.",Server products and cloud services
"To share just 
one example, Novartis has added thousands of seats each quarter over the past year and now 
have 40,000 seats.",Server products and cloud services
"Barclays, Carrier Group, Pearson, and University of Miami all purchased 
10,000 or more seats this quarter.",Server products and cloud services
"And overall, the number of people who use Copilot daily, 
again, more than doubled quarter over quarter.",Server products and cloud services
Employees are also engaging with Copilot more than ever.,Server products and cloud services
"Usage intensity increased more than 
60% quarter over quarter, and we are expanding our TAM with Copilot Chat, which was 
announced earlier this month.",Server products and cloud services
"Copilot Chat, along with Copilot Studio, is now available to every 
employee to start using agents right in the flow of work.",Server products and cloud services
"With Copilot Studio, we are making it as 
simple to build an agent as it is to create an Excel spreadsheet.",Server products and cloud services
"More than 160,000 organizations have already used for Copilot Studio, and they collectively 
created more than 400,000 custom agents in the last three months alone, up over 2x quarter 
over quarter.",Server products and cloud services
