text,business_line,sentiment,section,processed,paragraph_id,paragraph,segment
"Microsoft (MSFT 2.31%) 
Q2 2025 Earnings Call 
Jan 29, 2025, 5:30 p.m.",Other,neutral,main,True,0,"Microsoft (MSFT 2.31%) 
Q2 2025 Earnings Call 
Jan 29, 2025, 5:30 p.m.",Other
"ET 
Contents: 
● Prepared Remarks 
● Questions and Answers 
● Call Participants 
Prepared Remarks: 
 
Operator 
Greetings, and welcome to the Microsoft fiscal year 2025 second-quarter earnings conference 
call.",Other,neutral,main,True,1,"ET 
Contents: 
● Prepared Remarks 
● Questions and Answers 
● Call Participants 
Prepared Remarks: 
...",Other
"At this time, all participants are in a listen-only mode.",Other,neutral,main,True,2,"At this time, all participants are in a listen-only mode.",Other
"A question-and-answer session will 
follow the formal presentation. [Operator instructions] As a reminder, this conference is being 
recorded.",Other,neutral,main,True,3,"A question-and-answer session will 
follow the formal presentation. [Operator instructions] As a rem...",Other
"It is now my pleasure to introduce your host, Brett Iversen, vice president of investor relations.",Other,neutral,main,True,4,"It is now my pleasure to introduce your host, Brett Iversen, vice president of investor relations.",Other
Please go ahead.,Other,neutral,main,True,5,Please go ahead.,Other
"Brett Iversen -- Vice President, Investor Relations 
Good afternoon, and thank you for joining us today.",Other,neutral,main,True,6,"Brett Iversen -- Vice President, Investor Relations 
Good afternoon, and thank you for joining us to...",Other
"On the call with me are Satya Nadella, 
chairman and chief executive officer; Amy Hood, chief financial officer; Alice Jolla, chief 
accounting officer; and Keith Dolliver, corporate secretary and deputy general counsel.",Office Commercial,neutral,main,True,7,"On the call with me are Satya Nadella, 
chairman and chief executive officer; Amy Hood, chief financ...",Productivity and Business Processes
"On the 
Microsoft Investor Relations website, you can find our earnings press release and financial 
summary slide deck, which is intended to supplement our prepared remarks during today's call 
and provides the reconciliation of differences between GAAP and non-GAAP financial 
measures.",Office Commercial,neutral,main,True,8,"On the 
Microsoft Investor Relations website, you can find our earnings press release and financial ...",Productivity and Business Processes
"More detailed outlook slides will be available on the Microsoft Investor Relations 
website when we provide outlook commentary on today's call.",Office Commercial,neutral,main,True,9,"More detailed outlook slides will be available on the Microsoft Investor Relations 
website when we ...",Productivity and Business Processes
"In this call, we will discuss certain non-GAAP items.",Office Commercial,neutral,main,True,10,"In this call, we will discuss certain non-GAAP items.",Productivity and Business Processes
"The non-GAAP financial measures 
provided should not be considered as a substitute for or superior to the measures of financial 
performance prepared in accordance with GAAP.",Office Commercial,neutral,main,True,11,"The non-GAAP financial measures 
provided should not be considered as a substitute for or superior t...",Productivity and Business Processes
"They are included as additional clarifying 
items to aid investors in further understanding the company's second-quarter performance in 
addition to the impact these items and events have on the financial results.",Office Commercial,neutral,main,True,12,"They are included as additional clarifying 
items to aid investors in further understanding the comp...",Productivity and Business Processes
"All growth 
comparisons we make on the call today relate to the corresponding period of last year unless 
otherwise noted.",Office Commercial,neutral,main,True,13,"All growth 
comparisons we make on the call today relate to the corresponding period of last year un...",Productivity and Business Processes
"Where to invest $1,000 right now 
When our analyst team has a stock tip, it can pay to listen.",Office Commercial,positive,main,True,14,"Where to invest $1,000 right now 
When our analyst team has a stock tip, it can pay to listen.",Productivity and Business Processes
"After all, Stock Advisor’s total 
average return is 906% — a market-crushing outperformance compared to 164% for the S&P 
500.",Office Commercial,positive,main,True,15,"After all, Stock Advisor’s total 
average return is 906% — a market-crushing outperformance compared...",Productivity and Business Processes
"They just revealed what they believe are the 10 best stocks for investors to buy right now… 
Learn more › 
*Stock Advisor returns as of April 28, 2025 
We will also provide growth rates in constant currency when available as a framework for 
assessing how our underlying businesses performed, excluding the effect of foreign currency 
rate fluctuations.",Office Commercial,neutral,main,True,16,"They just revealed what they believe are the 10 best stocks for investors to buy right now… 
Learn m...",Productivity and Business Processes
"Where growth rates are the same in constant currency, we will refer to the 
growth rate only.",Office Commercial,neutral,main,True,17,"Where growth rates are the same in constant currency, we will refer to the 
growth rate only.",Productivity and Business Processes
"We will post our prepared remarks to our website immediately following the call 
until the complete transcript is available.",Office Commercial,neutral,main,True,18,"We will post our prepared remarks to our website immediately following the call 
until the complete ...",Productivity and Business Processes
Today's call is being webcast live and recorded.,Office Commercial,neutral,main,True,19,Today's call is being webcast live and recorded.,Productivity and Business Processes
"If you ask a question, it will be included in our live transmission, in the transcript, and in any 
future use of the recording.",Office Commercial,neutral,main,True,20,"If you ask a question, it will be included in our live transmission, in the transcript, and in any 
...",Productivity and Business Processes
"You can replay the call and view the transcript on the Microsoft 
Investor Relations website.",Office Commercial,neutral,main,True,21,"You can replay the call and view the transcript on the Microsoft 
Investor Relations website.",Productivity and Business Processes
"During this call, we will be making forward-looking statements, which 
are predictions, projections, or other statements about future events.",Office Commercial,neutral,main,True,22,"During this call, we will be making forward-looking statements, which 
are predictions, projections,...",Productivity and Business Processes
"These statements are 
based on current expectations and assumptions that are subject to risks and uncertainties.",Office Commercial,neutral,main,True,23,"These statements are 
based on current expectations and assumptions that are subject to risks and un...",Productivity and Business Processes
